official,P07,NP,NP,1,False=(1.0, 'DUMMY', 1.0)
persuade,VF1,VP,VP,1,False=(1.0, 'goal', 1.0)
sell,VL4,V좪쫆,VP,-1,False=(1.0, 'manner', 1.0)
human,Nhab,Nac,NP,-1,False=(1.0, 'property', 7.0)
press,VC2,Dbab,S,-1,False=(1.0, 'deixis', 1.0)
mean,VC2,Daa,VP,-1,False=(1.0, 'quantity', 1.0)
labour,VC31,P06,S,-1,True=(1.0, 'agent', 1.0)
bear,VL2,NP,VP,1,False=(1.0, 'goal', 10.0)
regard,VE2,A,VP,-1,False=(1.0, 'manner', 2.0)
continuous,Nv4,Nad,NP,-1,False=(1.0, 'property', 1.0)
place,Ncb,Ncdb,NP,-1,False=(1.0, 'property', 24.0)
do,VH11,P21,VP,1,False=(1.0, 'location', 1.0)
choose,Nac,Nes,NP,-1,False=(1.0, 'quantifier', 1.0)
rate,Nad,PP좪ず,NP,-1,False=(1.0, 'predication', 1.0)
act,VF2,NP,VP,1,False=(1.0, 'goal', 7.0)
obey,Caa[P1],DM,DM,1,False=(0.5, 'DUMMY2', 2.0)|(0.5, 'DUMMY1', 2.0)
able,VA11,Naa,VP,1,False=(1.0, 'location', 1.0)
RegardAs,VC2,VP좪쫆,S,-1,True=(1.0, 'manner', 1.0)
equal,VH11,P63,VP,-1,False=(0.6, 'comparison', 6.0)|(0.4, 'companion', 4.0)
flesh,Nab,N좪ず,NP,-1,False=(1.0, 'property', 1.0)
MoveItDown,VC31,NP,VP,1,False=(1.0, 'theme', 5.0)
rest,VA12,VH11[+DE],S,1,False=(1.0, 'complement', 1.0)
bear,VL2,A,S,-1,True=(1.0, 'manner', 1.0)
become,VC32,Dd,VP,-1,False=(1.0, 'time', 1.0)
PassOn,VC33,Dk,S,-1,False=(1.0, 'evaluation', 1.0)
fulfil,VC2,Di,VP,1,False=(1.0, 'aspect', 4.0)
human,Nab,Nab,Nab,-1,False=(1.0, 'property', 1.0)
hair,Naa,NP,NP,-1,False=(1.0, 'possessor', 1.0)
bring,VC32,Dc,S,-1,False=(1.0, 'negation', 1.0)
act,Nad,Nep,NP,-1,False=(1.0, 'quantifier', 1.0)
act,VC2,VP,S,1,True=(0.5, 'contrast', 1.0)|(0.5, 'complement', 1.0)
act,Nad,Nac,NP,-1,False=(1.0, 'property', 2.0)
DegreeValue,Nad,NP,NP,-1,False=(1.0, 'property', 1.0)
obstruct,VH11,VP,S,-1,False=(1.0, 'theme', 2.0)
room,Nab,VP좪ず,NP,-1,False=(0.8, 'predication', 4.0)|(0.2, 'property', 1.0)
act,VG2,NP,VP,1,False=(1.0, 'range', 58.0)
endure,VC2,VP,VP,1,False=(1.0, 'complement', 3.0)
VieFor,VD2,Dbb,VP,-1,False=(1.0, 'evaluation', 1.0)
